epoch_mjd,e,a,i,om,w,ma,n,first_obs,H,per_y
57000,.4406823944594159,67.78077417200119,44.04450541331026,35.95311585793857,150.9766098935623,204.1649096228426,.001766217918923816,1954-09-03,-1.2,558.043417410301
54000,0.250248713478499,39.4450697257358,17.089000919562,110.3769579554089,112.5971416774872,25.24718971218841,.003978459870000909,1914-01-23,-0.8,247.740662360214
57000,.218430021323487,39.45974796563077,20.55200908658715,268.4816085757602,73.3951584226794,172.569055975409,.003976240214765596,1951-11-08,2.2,247.878958546688
57000,.0394677301117565,39.00076849698858,9.539410473515902,148.0731469665712,152.6789078430532,92.55950173026615,.004046637732895776,1953-08-15,4.5,243.566720923704
57000,.14667278084105,41.63899717494724,17.68932682556301,216.0432194031835,215.6137126744127,214.6678300462443,.003668205702197531,1954-04-08,3.7,268.694387225093
57000,.03474233293930239,43.25864948316779,7.988842301629369,188.8345579389557,159.6564935261298,281.7572934271946,.003464133645575108,1954-05-25,2.4,284.523169198896
57000,.01985749870233349,41.37155551941084,19.29786164154896,186.9500389108745,178.1102024692385,333.6951630339105,.00370383216330001,1954-06-02,3.9,266.109866730406
57000,.220860064488901,39.23868880805079,12.04248965085911,136.1739145121132,145.22711548,107.0358240689521,.004009888936092,1954-07-29,4.2,245.798898442344
57000,.1213481139559169,43.21965232834987,25.88073528554109,324.7107109557807,340.1504094938003,71.25727414220771,.003468823242234525,1954-08-27,3.3,284.13851457379
57000,.05117993934120479,43.19386555131938,17.14755539455462,97.26730785365045,273.0175222870082,101.4810788328818,.003471930041756904,1954-11-24,3.6,283.884257895012
57000,.07994975853275821,42.05822056335769,21.99866098795506,250.5773334526333,291.8626411589424,34.48214261455584,.003613497283487259,1954-12-21,4.0,272.762425440753
57000,.1558564045551569,45.71472256659194,29.00684666080313,79.36587649741875,297.2400285585709,156.3522937300533,.003188746105461738,1955-01-29,-0.4,309.095252732527
57000,.1912550421062206,43.21762949644745,28.19161302194378,121.7916467325156,240.20021294319,209.0738460351147,.003469066786194704,1955-03-22,0.1,284.11856678283
57000,.6668986898718641,110.7655829045624,14.02434101967503,78.46137906424063,223.8323892716966,13.44664190493678,.0008454673054457764,1974-06-17,3.5,1165.77693426936
57000,.2245088881129467,39.39962674434654,8.411215449186248,97.17288644334944,295.4763771442399,359.0745865049385,.003985344904726316,1974-06-18,5.0,247.312668521783
57000,.6143573119088895,91.09802875074257,28.73371715702392,84.65871875454026,318.6001151681871,4.118950598732097,.001133549800090949,1976-11-17,4.4,869.504174663059
57000,.1380955065692717,43.28953562166471,28.4770333340465,85.88153268520851,280.4803733066424,41.33963140400324,.00346042693135456,1976-11-18,4.1,284.827942597748
57000,.1961266012336014,47.71237796059715,10.01122994059463,46.43504552895907,266.9971923827265,50.40843117218497,.002990594158866231,1977-07-17,5.3,329.575405758573
57000,.1409055225101781,45.68389214371236,21.50017141057954,183.9941384312806,183.9431656719854,264.6858728313529,.003191974605846069,1980-03-19,3.4,308.782620501552
57000,.5929646744833795,93.87346660827265,13.34065809759047,194.1346893162808,356.3860311462977,9.965947112845077,.001083651882748035,1980-03-20,5.2,909.541430286731
57000,.2425952731158688,39.41999361876776,19.64520131798551,71.03556422578181,300.2455397750147,278.4884904068966,.003982256679948315,1982-07-17,3.6,247.504458547446
57000,.107326476333932,41.9066736373106,23.94208613643078,280.2081324475036,308.0084599426693,120.3607554071811,.003633116206105318,1982-07-25,4.2,271.289501203195
57000,.2817024751384911,51.46826059202579,.7523070377276942,302.2776557297609,342.5115904372132,76.20664161846233,.002669284330972939,1982-07-27,4.2,369.247394116423
57000,.1477915323548831,43.2559946774001,31.23117700196013,241.0423622992374,36.9777130290627,38.79388670347159,.003464452563559476,1982-08-10,4.4,284.496977598936
57000,.4930208977183254,74.00955700458773,23.33982049450179,131.2901708142256,346.2834481513264,342.3181512386621,.001548005027696023,1982-08-16,3.4,636.70741743941
57000,.1073711174903945,41.88514569968032,27.07069838826567,21.07406061481964,71.60156889847794,327.0117309575745,.003635917564923924,1982-09-16,4.8,271.080481272732
57000,.3690746225634845,47.59830259144721,13.51349268618419,183.1857633011535,130.9922076009084,44.0096700941666,.003001351605140987,1982-10-12,5.8,328.39414138593
57000,.3096887816940387,47.88734409910523,18.87597536569072,205.0270951506081,351.7586036552356,359.8503274321565,.002974219024338792,1983-04-14,5.5,331.38994650425
57000,.06733755777361559,38.87287148909661,24.8508999712594,140.6255968752511,357.565425916948,266.4980285359132,.004066625129368063,1983-07-16,4.5,242.369594445682
57000,.2621854308945138,39.42639739100257,14.02771630824057,23.12220169931732,288.4685677096444,71.32338430776234,.003981286501429253,1983-10-01,5.7,247.564771591726
57000,.1186898755207375,43.23282485522726,27.48055042844522,355.2751136085317,239.2955743357098,135.6778698495672,.003467237999303032,1983-10-01,4.5,284.26842448245
57000,.02880347980738518,39.42778228525756,18.16419161226865,64.58612799060651,4.536345886650449,174.9002280673361,.003981076740238025,1984-03-07,4.7,247.577815671201
57000,.04271136479293429,38.76338929525344,.4051680724216634,286.531890953245,75.31464647806142,256.2319395307475,.004083865775880408,1984-05-31,4.4,241.346395170168
57000,.505845873337292,66.84726942371793,30.93761314716987,336.815258445639,206.6523954693212,103.8464667024552,.001803343945270885,1985-08-19,2.0,546.554796688827
57000,.8259049487964208,102.2772131449798,22.27219573045958,171.8811034806168,319.8868387788233,8.814027977404377,.0009528745883151699,1987-01-31,6.4,1034.37146446554
57000,.2991273986543408,30.19561119217004,36.14726673059536,187.0612537530699,95.9748162522619,64.41975320231835,.00594002587725501,1988-06-17,6.6,165.929627872771
