full_name,epoch_mjd,a,e,i,om,w,ma,n,first_obs,H,per_y
"       (2004 PC112)",53245,44.34815831974979,.04178478639995932,2.357782817485464,69.53358887264676,277.2825235089251,.06829400599981163,.00333726497117285,2004-08-13,,295.339534583365
"136199 Eris (2003 UB313)",57000,67.78077417200119,.4406823944594159,44.04450541331026,35.95311585793857,150.9766098935623,204.1649096228426,.001766217918923816,1954-09-03,-1.2,558.043417410301
"134340 Pluto",54000,39.4450697257358,0.250248713478499,17.089000919562,110.3769579554089,112.5971416774872,25.24718971218841,.003978459870000909,1914-01-23,-0.8,247.740662360214
"136472 Makemake (2005 FY9)",57000,45.71475457746976,.1558560539645412,29.00684680227686,79.36587332902408,297.2402013816711,156.3520823152494,.003188742756175112,1955-01-29,-0.4,309.095577389821
"136108 Haumea (2003 EL61)",57000,43.21752905060848,.1912571095691548,28.19161031554999,121.7916291979708,240.2000305984487,209.0742360905095,.003469078880368084,1955-03-22,0.1,284.117576266521
" 90377 Sedna (2003 VB12)",57000,524.434127467771,.8549069895921635,11.92863849477524,144.5452006003131,311.2877949215967,358.1631284022692,8.206682948862652E-5,1990-09-25,1.5,12010.0446125332
"225088 (2007 OR10)",57000,66.84726942371793,.505845873337292,30.93761314716987,336.815258445639,206.6523954693212,103.8464667024552,.001803343945270885,1985-08-19,2.0,546.554796688827
" 90482 Orcus (2004 DW)",57000,39.45974796563077,.218430021323487,20.55200908658715,268.4816085757602,73.3951584226794,172.569055975409,.003976240214765596,1951-11-08,2.2,247.878958546688
" 50000 Quaoar (2002 LM60)",57000,43.25864948316779,.03474233293930239,7.988842301629369,188.8345579389557,159.6564935261298,281.7572934271946,.003464133645575108,1954-05-25,2.4,284.523169198896
"       (2013 FY27)",56549,59.61523858579225,.4037466760868446,33.12113097009031,187.0505237776004,133.2396603750165,221.6213835536648,.002141253788292631,2013-03-17,3.0,460.303345991259
" 55636 (2002 TX300)",57000,43.21965232834987,.1213481139559169,25.88073528554109,324.7107109557807,340.1504094938003,71.25727414220771,.003468823242234525,1954-08-27,3.3,284.13851457379
"174567 Varda (2003 MW12)",57000,45.68389214371236,.1409055225101781,21.50017141057954,183.9941384312806,183.9431656719854,264.6858728313529,.003191974605846069,1980-03-19,3.4,308.782620501552
"202421 (2005 UQ513)",57000,43.29605253611084,.1487675537687917,25.73629804783528,307.9086910157828,221.0732786131231,223.4255740989435,.003459645666447768,1990-09-15,3.4,284.892263079519
"229762 (2007 UK126)",57000,74.00955700458773,.4930208977183254,23.33982049450179,131.2901708142256,346.2834481513264,342.3181512386621,.001548005027696023,1982-08-16,3.4,636.70741743941
" 55565 (2002 AW197)",57000,47.50747155598051,.1299130054972144,24.33298092458305,297.4107993216403,293.228355614586,292.6022119780332,.003009963286505849,1997-12-29,3.5,327.454586501529
"303775 (2005 QU182)",57000,110.7655829045624,.6668986898718641,14.02434101967503,78.46137906424063,223.8323892716966,13.44664190493678,.0008454673054457764,1974-06-17,3.5,1165.77693426936
" 20000 Varuna (2000 WR106)",57000,43.1938428083966,.0511797647983681,17.14755672619412,97.26730847976135,273.0170928119985,101.4815396124429,.003471932783878538,1954-11-24,3.6,283.884033684114
" 28978 Ixion (2001 KX76)",57000,39.41999361876776,.2425952731158688,19.64520131798551,71.03556422578181,300.2455397750147,278.4884904068966,.003982256679948315,1982-07-17,3.6,247.504458547446
"120178 (2003 OP32)",57000,43.04407531576882,.1048762948247594,27.20051677985851,182.9531098666431,67.17907246066198,70.47430588803448,.003490068893502614,1990-07-21,3.6,282.408833018304
"307261 (2002 MS4)",57000,41.63899717494724,.14667278084105,17.68932682556301,216.0432194031835,215.6137126744127,214.6678300462443,.003668205702197531,1954-04-08,3.7,268.694387225093
" 55637 (2002 UX25)",57000,42.72097588056492,.1446000468299742,19.45094814743943,204.6461759060502,277.3760531116479,294.05899478554,.003529736832039293,1991-10-12,3.8,279.235062064985
" 84522 (2002 TC302)",57000,55.46971433825367,.2966029214331548,35.07354441772206,23.88002471763532,86.74565387036594,321.5497712206831,.002385723892305402,2000-08-05,3.8,413.135101906162
"208996 (2003 AZ84)",57000,39.6785244115344,.174975903938701,13.55368280996083,251.9827472140627,13.82558109878585,227.6805751651101,.003943399748678416,1996-03-19,3.8,249.943284014733
"       (2010 EK139)",57000,69.57074171110006,.5319539947648039,29.42738095156401,346.0995401413554,284.4434589289875,345.205269303839,.00169849441688502,2002-03-15,3.8,580.294096683085
"145452 (2005 RN43)",57000,41.37155551941084,.01985749870233349,19.29786164154896,186.9500389108745,178.1102024692385,333.6951630339105,.00370383216330001,1954-06-02,3.9,266.109866730406
"278361 (2007 JJ43)",57000,47.94398060865159,.1578998366866443,12.07615252509139,272.4753992349976,7.352843941722845,336.3242539786432,.002968950387129389,2002-05-10,3.9,331.978024166492
" 90568 (2004 GV9)",57000,42.05822056335769,.07994975853275821,21.99866098795506,250.5773334526333,291.8626411589424,34.48214261455584,.003613497283487259,1954-12-21,4.0,272.762425440753
"230965 (2004 XA192)",57000,47.36932418651109,.2512345740388094,38.07519431050923,328.7560699153736,132.3646816304285,355.3409128363007,.003023140217218736,1989-08-29,4.0,326.027313504606
